query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist,parent_id
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg,4 years ago,247,51,"Have you heard of aquaponics where you live, or would you like to try it?",@DWPlanetA,https://yt3.ggpht.com/Ffxmm2ypsWi57SwzljPgLohBhQbdGm7TQB-Lcr2rQvXlQJ44r96nqgAiWwfT1DaIEHa3qD3TKA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCb72Gn5LXaLEcsOuPKGfQOg,TRUE,TRUE,FALSE,
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69Q8eGLISsvC,4 years ago (edited),18,,"@Chirag Sharma A DIY system can start at around 100 USD (as seen at 9:45), and an industrial system can be cost-competitive because it uses much less fertilizers, pesticides, water and space than conventional farming.",@DWPlanetA,https://yt3.ggpht.com/Ffxmm2ypsWi57SwzljPgLohBhQbdGm7TQB-Lcr2rQvXlQJ44r96nqgAiWwfT1DaIEHa3qD3TKA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCb72Gn5LXaLEcsOuPKGfQOg,TRUE,TRUE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69Q8eGgpxamJ,4 years ago,3,,I've heard of it but am unaware of any projects in my surroundings.,@mrkokolore6187,https://yt3.ggpht.com/ytc/AIdro_liEMqzqE-wVgdIks6QhYYPI20y2L9w6f4e3Ze1qe0v_io=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCqPJTWFYUtBLEYeEKBT5wZw,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69Q8hKamVcj_,4 years ago (edited),9,,"@Chirag Sharma It may be seemingly expensive at the outset, but that's only for the set-up. You keep using the same pipes, the same fish, and so on. For my own, we just feed our carp/goldfish vegetable scraps to save on fish food, and if you have tilapia ",@TzokoliT,https://yt3.ggpht.com/ytc/AIdro_lMLEAQrZyeFDVSwDkOI8lG6YvNvElP5VNYlcv21rROAm_d=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCZbC1_3otcFNsUjBaeJVn6Q,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69Q9BQ1mTOvP,4 years ago,10,,Get rid of this music guys!!,@JohnnyKarate44,https://yt3.ggpht.com/KY-yF8sCapVldEnN66Gi8HPp86Y1Tr-9hQ1D5SszCAfqdQquk3u_gYF2SObqjs_doBQgQ0Cd=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCf9Onua3EqgD3ACr973ABcA,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69Q9WzYWRbTv,4 years ago,2,,"and i forgot the water pump, that you need to double in case of problem !!!!!",@mhcbon4606,https://yt3.ggpht.com/ytc/AIdro_mMcxhuGZBFMfRBQDFYazvDM6I0Ju2hqDIjH_YkRWMkN6eYOqFo_cRHdbgwLkdaiRnKLA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCl9XmTEBHVSWN2bAlFELJYA,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69QB4-wz6fMn,4 years ago,4,,But is the fishfood really sustainable? 😬 Usually its made out of fish flour - small grinded seafish.,@Mitnixbinichfroh,https://yt3.ggpht.com/ytc/AIdro_m4Rcl80ANXI_-eElK3dzPL-GUsVdr-suPQ8XEZUWkqeg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCqGbbrqPADgDoojLnaGn3dA,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69QB9bhnMRmO,4 years ago,6,," @Mitnixbinichfroh   exactly!  that’s why it’s super important to grow rather types of fish, that mostly eat vegetarian food - like Tilapia (7:47 )",@user-hh9zr8zp1f,https://yt3.ggpht.com/ytc/AIdro_n0tm1ZRI7vy2SDokZyV962GNsRoO_14HgtLW1ptJI=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCyCHdHicwWZJAdNuocKj82g,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69QD6XvXdRn1,4 years ago,3,,"Why, oh why, must we continue to try to outsmart nature?",@crowlsyong,https://yt3.ggpht.com/Egeoqx0Xef3pv3dtBx90gFIQQQQb4aMP34E2616-j-fVhuTGnjuLN25UyfKBZMd5HbgYfbwHx-c=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC8kql4-DiINmuqSjwH8hPsg,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
https://www.youtube.com/watch?v=HNzro_wQcCI,UgyIjY61ioXX6SzXNtR4AaABAg.9Q8c6bAnRc69QDXJfOGNdr,4 years ago,2,,I've read there is a problem with fishborne diseases in aquaponics.,@sashas3362,https://yt3.ggpht.com/ytc/AIdro_kIpmTXON2avOXXU1qIHCYnTnn99wfmLk5I8fJ8MaQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCrgD9rbIX0B7UZqWCJf6FBA,FALSE,FALSE,FALSE,UgyIjY61ioXX6SzXNtR4AaABAg
